Date,Close,High,Low,Open,Volume
9/22/2015,25.48387909,25.65916475,25.2861195,25.47938362,201384800
9/23/2015,25.69062996,25.78052054,25.46141061,25.53556875,143026800
9/24/2015,25.84344482,25.95580763,25.25241709,25.45017501,200878000
9/25/2015,25.77826881,26.22322618,25.62320763,26.16704479,224607600
9/28/2015,25.26814079,25.74680559,25.26814079,25.58500292,208436000
9/29/2015,24.50857162,25.5086015,24.23890161,25.35578804,293461600
9/30/2015,24.78722763,25.06588682,24.4344086,24.75801221,265892000
10/1/2015,24.62542725,24.63441647,24.11529927,24.51081673,255716400
10/2/2015,24.8052063,24.9467845,24.16923428,24.27260783,232079200
10/5/2015,24.89509583,25.02768479,24.51081535,24.69284249,208258800
10/6/2015,25.01420403,25.11083609,24.66812642,24.86139056,192787200
10/7/2015,24.89509583,25.11757364,24.58722292,25.11083214,187062400
10/8/2015,24.60744667,24.76250784,24.31755052,24.76250784,247918400
10/9/2015,25.19623375,25.23218895,24.60520435,24.71981488,211064400
10/12/2015,25.07937241,25.33780715,25.04341721,25.33331339,121868800
10/13/2015,25.12207413,25.27039213,24.87262858,24.90409003,132197200
10/14/2015,24.76700592,25.06139588,24.62093395,25.00970996,177849600
10/15/2015,25.1377964,25.19173005,24.82992183,24.9288016,150694000
10/16/2015,24.95353127,25.16926764,24.83892073,25.11982773,156930400
10/19/2015,25.10859108,25.11308484,24.744535,24.89959621,119036800
10/20/2015,25.56703186,25.65692245,24.904092,25.02094856,195871200
10/21/2015,25.56477737,25.97377778,25.55129268,25.61871102,167180800
10/22/2015,25.95580482,25.95580482,25.64118867,25.6928763,166616400
10/23/2015,26.76031685,26.79402602,26.14232163,26.22546898,237467600
10/26/2015,25.90636253,26.54683004,25.82546119,26.53559479,265335200
10/27/2015,25.74231529,26.18951871,25.6164678,25.93333169,279537600
10/28/2015,26.80302048,26.80976369,26.08165154,26.27716342,342205600
10/29/2015,27.08617401,27.12213093,26.57829372,26.67492579,204909200
10/30/2015,26.854702,27.2412302,26.84346503,27.18954257,197461200
11/2/2015,27.23225212,27.2727028,26.87943295,27.146857,128813200
11/3/2015,27.5446167,27.75136384,27.12437921,27.14460541,182076000
11/4/2015,27.41652107,27.82552156,27.33112597,27.67046036,179544400
11/5/2015,27.29013824,27.68960617,27.12312994,27.50002774,158210800
11/6/2015,27.32172394,27.49098954,27.22242262,27.333009,132169200
11/9/2015,27.21113968,27.49099167,27.09378295,27.29915766,135485600
11/10/2015,26.35353279,26.64692728,26.19329485,26.38287327,236511600
11/11/2015,26.20458031,26.50023043,26.00146118,26.26325955,180872000
11/12/2015,26.11655998,26.36481591,26.10076192,26.23843145,130102400
11/13/2015,25.35372925,26.08270052,25.33793119,25.99919554,183249600
11/16/2015,25.76900291,25.78254362,25.05131648,25.13707713,152426800
11/17/2015,25.65841293,25.96534808,25.57490794,25.9360076,110467600
11/18/2015,26.47089005,26.51602686,26.06690917,26.12558841,186698800
11/19/2015,26.80716133,27.02607848,26.35127333,26.54987772,173183200
11/20/2015,26.92451859,27.06444373,26.82295818,26.90194846,137148400
11/23/2015,26.57470131,27.02156329,26.48216861,26.91774553,129930000
11/24/2015,26.82973099,26.93580439,26.4325222,26.47991637,171212800
11/25/2015,26.63789749,26.90872355,26.61307173,26.90420883,85553200
11/27/2015,26.58824348,26.72365736,26.54084932,26.69657424,52185600
11/30/2015,26.69882774,26.94934097,26.57469895,26.62886346,156721200
12/1/2015,26.48217201,26.81393293,26.37384297,26.80039223,139409600
12/2/2015,26.24293518,26.65594361,26.19779838,26.48216332,133546400
12/3/2015,25.99920273,26.3580468,25.77802991,26.30388227,166278000
12/4/2015,26.86358261,26.91323414,25.97888803,26.01951185,231108000
12/7/2015,26.69431496,27.05090159,26.58824157,26.85229723,128336800
12/8/2015,26.6830368,26.76654009,26.37384428,26.52279715,137238000
12/9/2015,26.09399986,26.56117311,25.97212836,26.54988804,185445600
12/10/2015,26.21811676,26.3918971,26.0691639,26.188778,116850800
12/11/2015,25.54331017,26.04207931,25.46883288,25.9969425,187544800
12/14/2015,25.38533401,25.43047083,24.77823401,25.31762707,257274800
12/15/2015,24.93621063,25.45754991,24.90461452,25.26345853,213292400
12/16/2015,25.12804794,25.27474518,24.55480315,25.06711307,224954000
12/17/2015,24.59542847,25.33342595,24.59542847,25.28151706,179091200
12/18/2015,23.92965508,24.71730429,23.88000353,24.57963644,385813200
12/21/2015,24.22304344,24.23207115,23.8258329,24.21175838,190362400
12/22/2015,24.20046997,24.31105636,24.02443228,24.23883643,131157600
12/23/2015,24.51192856,24.5660931,24.19370824,24.2095063,130629600
12/24/2015,24.38101959,24.59993674,24.36296418,24.59993674,54281600
12/28/2015,24.10794258,24.30429136,23.9635027,24.28172123,106816800
12/29/2015,24.54126358,24.69698854,24.11697161,24.13954002,123724800
12/30/2015,24.22078705,24.53223524,24.18919093,24.50515383,100855200
12/31/2015,23.755867,24.15533313,23.65656395,24.15082013,163649200
